,userId,movieId,timestamp
0,1,1,964982703
1,1,3,964981247
2,1,6,964982224
5,1,70,964982400
6,1,101,964980868
7,1,110,964982176
8,1,151,964984041
9,1,157,964984100
10,1,163,964983650
11,1,216,964981208
12,1,223,964980985
14,1,235,964980908
16,1,296,964982967
17,1,316,964982310
18,1,333,964981179
19,1,349,964982563
20,1,356,964980962
23,1,423,964982363
24,1,441,964980868
26,1,480,964982346
27,1,500,964981208
28,1,527,964984002
29,1,543,964981179
31,1,553,964984153
32,1,590,964982546
33,1,592,964982271
35,1,596,964982838
36,1,608,964982931
37,1,648,964982563
38,1,661,964982838
39,1,673,964981775
41,1,736,964982653
43,1,804,964980499
45,1,923,964981529
48,1,954,964983219
53,1,1029,964982855
54,1,1030,964982903
55,1,1031,964982653
56,1,1032,964982791
57,1,1042,964981179
59,1,1060,964980924
60,1,1073,964981680
61,1,1080,964981327
62,1,1089,964982951
63,1,1090,964984018
64,1,1092,964983484
65,1,1097,964981680
67,1,1136,964981327
72,1,1208,964983250
74,1,1213,964982951
75,1,1214,964981855
76,1,1219,964983393
78,1,1222,964981909
79,1,1224,964984018
82,1,1256,964981442
84,1,1265,964983599
85,1,1270,964983705
86,1,1275,964982290
87,1,1278,964983414
88,1,1282,964982703
89,1,1291,964981909
92,1,1377,964982653
93,1,1396,964983017
95,1,1445,964984112
96,1,1473,964980875
97,1,1500,964980985
98,1,1517,964981107
99,1,1552,964982620
100,1,1573,964982290
102,1,1587,964982346
103,1,1617,964982951
104,1,1620,964983056
106,1,1644,964983536
107,1,1676,964982620
112,1,1805,964983056
113,1,1920,964981780
114,1,1927,964981497
115,1,1954,964982176
116,1,1967,964981710
117,1,2000,964982211
118,1,2005,964981710
119,1,2012,964984176
120,1,2018,964980523
121,1,2028,964981888
122,1,2033,964982903
123,1,2046,964982563
125,1,2054,964981747
129,1,2093,964981710
131,1,2096,964982838
132,1,2099,964982588
133,1,2105,964981725
134,1,2115,964982529
136,1,2137,964982791
139,1,2143,964981725
141,1,2174,964981680
142,1,2193,964981710
143,1,2253,964981775
145,1,2273,964982310
146,1,2291,964983664
147,1,2329,964983263
148,1,2338,964983546
149,1,2353,964983861
150,1,2366,964982462
151,1,2387,964983123
153,1,2395,964981093
154,1,2406,964982310
155,1,2414,964982513
157,1,2450,964982620
159,1,2470,964982588
162,1,2502,964981278
163,1,2528,964982328
164,1,2529,964982242
167,1,2580,964983000
169,1,2616,964983080
172,1,2640,964982377
173,1,2641,964982620
174,1,2644,964983393
175,1,2648,964983414
182,1,2797,964981710
184,1,2858,964980868
185,1,2872,964981680
186,1,2899,964982703
187,1,2916,964982290
189,1,2947,964982176
190,1,2948,964982191
191,1,2949,964981888
192,1,2959,964983282
193,1,2985,964983034
195,1,2991,964982271
196,1,2993,964982242
197,1,2997,964980896
198,1,3033,964983762
199,1,3034,964982791
200,1,3052,964981208
204,1,3168,964982495
206,1,3243,964981093
207,1,3247,964983108
208,1,3253,964981107
209,1,3273,964983536
210,1,3386,964983484
211,1,3439,964981799
212,1,3440,964981799
213,1,3441,964982328
214,1,3448,964984054
215,1,3450,964981144
216,1,3479,964981725
217,1,3489,964981775
218,1,3527,964982271
219,1,3578,964980668
220,1,3617,964980683
222,1,3671,964981589
223,1,3702,964983737
225,1,3729,964982363
226,1,3740,964982417
229,1,3809,964981220
233,2,333,1445715029
234,2,1704,1445715228
235,2,3578,1445714885
237,2,8798,1445714960
238,2,46970,1445715013
241,2,60756,1445714980
242,2,68157,1445715154
244,2,74458,1445714926
246,2,79132,1445714841
248,2,80906,1445715172
250,2,89774,1445715189
253,2,99114,1445714874
255,2,109487,1445715145
256,2,112552,1445714882
258,2,115713,1445714854
259,2,122882,1445715272
261,3,31,1306463578
262,3,527,1306464275
263,3,647,1306463619
264,3,688,1306464228
266,3,849,1306463611
267,3,914,1306463567
269,3,1124,1306464216
271,3,1272,1306463624
272,3,1275,1306463323
273,3,1302,1306464189
274,3,1371,1306463561
275,3,1587,1306464003
276,3,2018,1306464175
277,3,2080,1306463572
279,3,2105,1306463559
281,3,2424,1306464293
282,3,2851,1306463925
283,3,3024,1306464054
284,3,3210,1306463638
286,3,3949,1306464245
287,3,4518,1306463770
